Cat,Grp,Acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Bolig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,koncert/musik,KRUDTTØNDEN,BILLETLUGEN,BILLETTEN,RØDOVRE KULTURHUS,BILLETTO.DK,BILLETNET,KULTURHUSET,T.P. MUSIK MARKED,AMAGER KULTURPUNKT,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,Andet,DANSKE SPIL,TIVOLI, WWW.TAENK.DK/SHOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,Sundhed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Apotek,APOTEK,LYNGBY SVANE APOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Psykolog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Zoneterapi,ZONETERAPICENTERET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Træning,SHINDOKAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,Fysioterapi,oestfys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,Tandlæge,PLUS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,Ostepat,DIDDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,Frisør,LISBETH WESTRING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,Optiker,SYNOPTIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,Alm pleje,MATAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,Ferie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Rejse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,Div,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Stuff,BALLERUP KOMMUNE,DKUUG,SKAT.DK,GRATISDNS.DK,SOOCIAL,ATM 0044,VIGGOS CYKLER,REJSEKORT-WEBSALG,TAXA 4 X 35,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,kontant,Fremmed automat,ATM 0012,PAYPAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,Gadget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Foto,PHOTOCARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Musik,AVID EMEA,4SOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Computer,APPLE,ATEA A/S,ELGIGANTEN,COMPUTERCITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,HiFi,FONA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,Leve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,Mad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Dagligvarer,REMA 1000,KVICKLY,IRMA,KIOSK T B,LAGKAGEHUSET,DEN RIGTIGE BAGER,DØGNETTO GENTO,METRO GLOSTRUP,BILKA,SUPERB PLANTAN,FØTEX,SUPERBRUGSEN,FÅREVEJLE SLAGTERF,SPAR ORDRUP,FAKTA,SUPERB BROSTYK,KORN BAGERI,SUPERBEST,NETTO,MEYERS BAGERI,ØKO-BAGERIET,SUPERB ASNÆS,METRO SLUSEHOLMEN,NEMLIG.COM,KIHOSKH A/S,SUPERB HALMTORVET,ALDI,INCO,CENTERBAGEREN,SLAGTER-ONLINE.DK,SUPERB VANGEDE,HELSEHUSET,DEN FLINKE SLAGTER,REINH. VAN HAUEN
,2,,Tøj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Dagligdag,LEVISTRAUSS,MAGASIN,SPORT-MASTER,LEVIS STORE,SPORTIGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,Spise ude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Cafe/bar,DEN BLÅ HUND,MIKKELLER,BARESSO,CAFE BARTOF,VON FRESSEN,BARBAR BAR,JOE & THE JUICE,SOKKELUND,ESTATE COFFEE,DET ELEKTRISKE HJØ,BOUTIQUE LIZE,VEGA - MUSIKKENS H,CAFE SKAMMEKROGEN,KAFFESALONEN,MJ COFFEE,CAFE LEO,TRYKKERTØSEN,CAFE OSCAR,KAFFE OG ØLBAR,CAFE VOGELKOP,CAFE BANKERÅT,,,,,,,,,,,,,
,,2,Restaurant,CAFE DIVINO,THAI RESTAURANT SI,TASTE OF THAI,HEREFORD STEAK,DYREHAVEN,STICKS N SUSHI,HALIFAX,INDUS,SAKURA,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Take-away,LYNGBY PIZZARIA,LETZ SUSHI,MC DONALD,COSTA SMERALDA,COSTASMERALDA,OMAKASE,KINA GRILL,THE TACO SHOP,MAD MED MERE,PALAZZO PIZZARIA,Z-SUSHI,KEBABISTAN,TOSCANA DUE,JUST-EAT.DK,LA SANDWICHERIE,THE BAGEL,KING OF CHICKEN,DELIZIA PIZZA,MEKONG THAI TAKE,TACO DINER,TACO SHOP,MCDONALD,,,,,,,,,,,,
,,4,to-edit,D KOMPAGNIET APS,MUSIK-CONDITORIET,ARTISTKOKKEN,SALUMERIA,SACHI SUSHI,MOODFOOD,ICEQUEEN,VILDGLAD,PARADIS VESTERBRO,MAMMA CHE GELATO,CASCABEL MADHUS,ISBJØRNEN/BRAVISSI,,,,,,,,,,,,,,,,,,,,,,
